x,y
-3.3680223e-02,2.00000e+00,
-3.3670224e-02,2.00000e+00,
-3.3660226e-02,2.00000e+00,
-3.3650227e-02,2.00000e+00,
-3.3640228e-02,2.00000e+00,
-3.3630230e-02,2.00000e+00,
-3.3620231e-02,2.00000e+00,
-3.3610232e-02,2.00000e+00,
-3.3600233e-02,2.00000e+00,
-3.3590235e-02,2.00000e+00,
-3.3580236e-02,2.00000e+00,
-3.3570237e-02,2.00000e+00,
-3.3560239e-02,2.00000e+00,
-3.3550240e-02,2.00000e+00,
-3.3540241e-02,2.00000e+00,
-3.3530243e-02,2.00000e+00,
-3.3520244e-02,2.00000e+00,
-3.3510245e-02,2.00000e+00,
-3.3500247e-02,2.00000e+00,
-3.3490248e-02,2.00000e+00,
-3.3480249e-02,2.00000e+00,
-3.3470251e-02,1.60000e+00,
-3.3460252e-02,2.00000e+00,
-3.3450253e-02,2.00000e+00,
-3.3440255e-02,2.00000e+00,
-3.3430256e-02,2.00000e+00,
-3.3420257e-02,1.60000e+00,
-3.3410259e-02,2.00000e+00,
-3.3400260e-02,2.00000e+00,
-3.3390261e-02,2.00000e+00,
-3.3380263e-02,1.60000e+00,
-3.3370264e-02,2.00000e+00,
-3.3360265e-02,2.00000e+00,
-3.3350267e-02,2.00000e+00,
-3.3340268e-02,2.00000e+00,
-3.3330269e-02,2.00000e+00,
-3.3320270e-02,2.00000e+00,
-3.3310272e-02,2.00000e+00,
-3.3300273e-02,2.00000e+00,
-3.3290274e-02,2.00000e+00,
-3.3280276e-02,2.00000e+00,
-3.3270277e-02,2.00000e+00,
-3.3260278e-02,2.00000e+00,
-3.3250280e-02,2.00000e+00,
-3.3240281e-02,2.00000e+00,
-3.3230282e-02,2.00000e+00,
-3.3220284e-02,2.00000e+00,
-3.3210285e-02,2.00000e+00,
-3.3200286e-02,2.00000e+00,
-3.3190288e-02,2.00000e+00,
-3.3180289e-02,2.00000e+00,
-3.3170290e-02,2.00000e+00,
-3.3160292e-02,2.00000e+00,
-3.3150293e-02,2.00000e+00,
-3.3140294e-02,2.00000e+00,
-3.3130296e-02,2.00000e+00,
-3.3120297e-02,2.00000e+00,
-3.3110298e-02,2.00000e+00,
-3.3100300e-02,2.00000e+00,
-3.3090301e-02,2.00000e+00,
-3.3080302e-02,2.00000e+00,
-3.3070303e-02,2.00000e+00,
-3.3060305e-02,2.00000e+00,
-3.3050306e-02,2.00000e+00,
-3.3040307e-02,2.00000e+00,
-3.3030309e-02,2.00000e+00,
-3.3020310e-02,2.00000e+00,
-3.3010311e-02,2.00000e+00,
-3.3000313e-02,2.00000e+00,
-3.2990314e-02,2.00000e+00,
-3.2980315e-02,2.00000e+00,
-3.2970317e-02,1.60000e+00,
-3.2960318e-02,2.00000e+00,
-3.2950319e-02,2.00000e+00,
-3.2940321e-02,2.00000e+00,
-3.2930322e-02,2.00000e+00,
-3.2920323e-02,1.60000e+00,
-3.2910325e-02,2.00000e+00,
-3.2900326e-02,2.00000e+00,
-3.2890327e-02,2.00000e+00,
-3.2880329e-02,2.00000e+00,
-3.2870330e-02,2.00000e+00,
-3.2860331e-02,2.00000e+00,
-3.2850333e-02,2.00000e+00,
-3.2840334e-02,2.00000e+00,
-3.2830335e-02,2.00000e+00,
-3.2820337e-02,2.00000e+00,
-3.2810338e-02,2.00000e+00,
-3.2800339e-02,2.00000e+00,
-3.2790340e-02,2.00000e+00,
-3.2780342e-02,2.00000e+00,
-3.2770343e-02,2.00000e+00,
-3.2760344e-02,1.60000e+00,
-3.2750346e-02,2.00000e+00,
-3.2740347e-02,2.00000e+00,
-3.2730348e-02,2.00000e+00,
-3.2720350e-02,2.00000e+00,
-3.2710351e-02,2.00000e+00,
-3.2700352e-02,2.00000e+00,
-3.2690354e-02,2.00000e+00,
-3.2680355e-02,2.00000e+00,
-3.2670356e-02,2.00000e+00,
-3.2660358e-02,2.00000e+00,
-3.2650359e-02,2.00000e+00,
-3.2640360e-02,2.00000e+00,
-3.2630362e-02,2.00000e+00,
-3.2620363e-02,2.00000e+00,
-3.2610364e-02,2.00000e+00,
-3.2600366e-02,2.00000e+00,
