Grosor Placas (mm),N1,N2,N3,Promedio,N/s,ln
4.98,3119.00,3179.00,3292.00,3196.67,53.28,3.98
9.95,1843.00,1765.00,1671.00,1759.67,29.33,3.38
14.89,946.00,998.00,940.00,961.33,16.02,2.77
19.84,441.00,551.00,468.00,486.67,8.11,2.09
24.84,344.00,320.00,314.00,326.00,5.43,1.69
29.85,177.00,220.00,182.00,193.00,3.22,1.17
34.76,106.00,134.00,107.00,115.67,1.93,0.66
