Grosor Placas (mm),N1,N2,N3,Promedio,N/s,ln
4.97,4324.00,4218.00,4382.00,4308.00,71.8,4.273884476
9.93,3133.00,3193.00,3231.00,3185.67,53.1,3.972072298
14.91,2395.00,2319.00,2402.00,2372.00,39.5,3.677144198
19.89,1586.00,1770.00,1577.00,1644.33,27.4,3.31074575
24.86,1385.00,1240.00,1361.00,1328.67,22.1,3.09758665
29.86,1127.00,1024.00,1079.00,1076.67,17.9,2.887280565
34.83,867.00,810.00,850.00,842.33,14.0,2.641831256
