I,V,R
0.319578,0.177014,0.553899205
0.321438,0.178016,0.55381131
0.323307,0.179013,0.553693548
0.325188,0.180019,0.553584388
0.327035,0.181011,0.553491217
0.328921,0.182028,0.553409481
0.330752,0.183012,0.553320917
0.332602,0.184014,0.553255843
0.334459,0.185009,0.553158982
0.336307,0.185997,0.553057177
0.338203,0.18701,0.552951925
0.340062,0.187998,0.552834483
0.341954,0.189004,0.552717617
0.343804,0.190008,0.552663727
0.345671,0.191017,0.552597701
0.34754,0.192011,0.552486045
0.349419,0.193022,0.552408427
0.351286,0.194015,0.552299266
0.353137,0.19501,0.552221942
0.35502,0.196017,0.552129457
0.3569,0.197006,0.551992155
0.358801,0.198021,0.551896455
0.360651,0.199012,0.551813249
0.362561,0.200025,0.551700266
0.364435,0.201019,0.551590819
0.366303,0.202005,0.551469685
0.368212,0.203014,0.551350852
0.37011,0.204009,0.551211802
0.372017,0.205022,0.551109224
0.37392,0.206016,0.550962773
0.375842,0.207025,0.55082987
0.377717,0.208015,0.550716542
0.379658,0.209022,0.550553393
0.381538,0.21002,0.550456311
0.383461,0.211019,0.550301074
0.385371,0.212023,0.550178918
0.387254,0.213015,0.550065332
0.389181,0.214019,0.549921502
0.391073,0.215018,0.549815508
0.393004,0.216026,0.549678884
0.394911,0.217025,0.549554203
0.396839,0.218034,0.549426846
0.398722,0.219026,0.549320078
0.400616,0.220014,0.549189249
0.402591,0.221021,0.548996376
0.404514,0.222016,0.54884627
0.406448,0.223029,0.54872702
0.408364,0.22402,0.548579209
0.410295,0.225028,0.548454161
0.412183,0.22602,0.54834867
0.414155,0.227035,0.54818848
0.416076,0.228026,0.548039301
0.417968,0.229022,0.547941469
0.419929,0.230027,0.547775934
0.421849,0.231018,0.547631973
0.423815,0.232027,0.547472364
0.425729,0.233023,0.547350545
0.42768,0.234044,0.547240928
0.429608,0.23503,0.547080129
0.43157,0.236037,0.546926339
0.43349,0.237027,0.5467877
0.435439,0.238021,0.546623063
0.437418,0.239036,0.546470424
0.439333,0.240029,0.546348669
0.441314,0.241043,0.546193866
0.443281,0.242037,0.546012574
0.445248,0.243046,0.545866573
0.447189,0.244034,0.545706625
0.449171,0.245053,0.545567278
0.451102,0.246044,0.54542875
0.45306,0.247034,0.545256699
0.455026,0.248047,0.545127092
0.45697,0.249035,0.544970129
0.458972,0.250045,0.544793582
