time,I
1.256568,3.98
1.413309,13.97
1.572818,11.00
1.737460,24.03
1.892483,67.97
2.051298,70.00
2.220038,29.03
2.379033,5.00
2.537455,1.01
2.855020,2.97
3.492466,5.00
3.650887,8.98
3.810952,11.00
3.972363,13.97
4.134996,17.01
4.292827,18.97
4.452277,18.02
4.614252,14.99
4.771286,12.02
4.934653,8.98
5.252383,9.99
5.412889,12.02
5.573074,13.03
5.732915,11.00
5.893242,9.99
6.053540,8.03
6.211587,7.02
6.373705,8.03
6.533339,9.99
6.693636,12.02
6.852704,13.97
7.013652,16.00
7.171238,18.02
7.333176,16.00
7.492816,13.03
7.653382,13.97
7.812900,14.99
7.972853,17.01
8.131715,16.00
8.452945,14.99
8.612899,16.00
8.932689,18.02
9.413888,18.97
9.734998,19.98
9.893775,20.99
10.374734,24.03
10.536077,25.99
11.020598,24.98
11.173444,27.00
11.333704,28.01
11.492957,29.97
11.655417,30.98
11.814190,32.00
11.974515,29.97
12.136039,27.00
12.451732,24.98
12.615350,23.02
12.773144,19.98
14.211220,20.99
14.532666,19.98
14.851781,22.01
15.013732,19.98
15.171007,20.99
15.331408,22.01
15.815594,23.02
16.135370,24.03
16.293523,25.99
16.457129,27.00
16.772231,25.99
16.933819,27.00
17.093666,28.01
17.574398,29.97
17.734439,30.98
18.054476,29.97
18.211418,32.00
18.374731,34.02
18.532939,33.01
18.855047,32.00
19.332376,30.98
19.494963,32.00
19.652801,33.01
19.975933,34.02
20.135979,35.03
20.290871,38.00
20.454511,39.02
20.613243,40.03
21.736375,40.97
22.055511,40.03
22.212537,40.97
22.695750,40.03
23.016436,40.97
23.174320,40.03
23.495591,38.00
23.813494,39.02
23.975942,40.03
24.133682,40.97
24.451422,40.03
24.931042,39.02
25.094431,38.00
25.412665,39.02
25.733976,38.00
26.053167,40.03
26.213636,39.02
26.373339,38.00
26.693904,39.02
27.334747,40.03
28.133542,40.97
28.616832,41.99
28.772703,40.97
28.937584,40.03
29.096010,40.97
29.252622,41.99
29.411739,43.00
29.730576,44.01
30.214245,45.02
30.372068,44.01
30.536008,45.02
30.691040,44.01
31.174633,43.00
31.653264,41.99
31.814136,40.97
31.972762,40.03
32.134693,41.99
32.290351,43.00
32.458277,44.01
32.772723,45.02
33.091676,45.97
33.413026,46.98
33.893174,47.99
34.054467,46.98
34.212750,47.99
34.376439,46.98
34.532301,45.97
34.852803,46.98
35.010810,47.99
35.172653,49.01
35.491413,50.02
35.654010,47.99
35.812036,46.98
36.294101,45.97
36.773429,45.02
36.933897,44.01
37.091055,45.02
37.252629,45.97
37.572934,46.98
37.891688,47.99
38.373246,49.01
39.172485,47.99
40.614293,46.98
41.092507,47.99
42.217594,46.98
42.370084,47.99
42.692534,49.01
43.332828,50.02
44.136874,51.03
44.294722,50.02
44.452119,51.03
44.615210,50.02
44.772647,51.03
44.930247,50.02
45.091478,50.02
45.249723,50.02
45.731732,51.03
46.214394,51.98
46.373697,51.03
46.853340,51.98
47.173983,51.03
47.333214,51.98
47.655698,52.99
47.812569,51.98
48.933125,51.03
49.413500,51.98
49.894130,51.03
50.054305,51.98
50.530655,51.03
50.690478,51.98
50.851639,52.99
51.173099,54.00
51.333945,52.99
51.490674,54.00
51.655291,55.01
51.975761,56.03
52.291563,56.97
52.452228,56.03
52.770368,55.01
52.937220,56.03
53.892657,56.97
54.213171,56.03
54.531958,56.97
55.173261,57.98
55.331263,57.98
55.809680,59.00
56.610414,57.98
56.777349,56.97
56.931392,56.03
57.095738,56.97
57.251241,57.98
57.415745,59.00
57.732570,60.01
57.893681,61.02
58.054363,60.01
58.371813,61.02
62.374284,62.03
62.691426,62.98
63.011144,62.03
63.815374,61.02
63.975449,62.98
64.773446,63.99
65.094199,62.98
65.256601,63.99
65.412621,63.99
65.575184,62.98
65.736665,63.99
66.052418,65.00
66.371646,66.01
66.691538,65.00
67.012609,66.01
67.656451,65.00
67.972913,66.01
68.455229,65.00
68.772980,66.01
69.090951,67.03
69.574250,67.97
69.893326,67.03
70.374445,67.97
70.692597,68.99
71.175148,67.97
71.332077,68.99
71.493679,70.00
71.812510,71.01
71.976100,72.02
72.134403,71.01
72.620944,72.02
73.094724,71.01
73.254658,72.02
73.416270,72.97
73.573284,72.02
73.732094,71.01
73.894178,70.00
74.056558,72.02
74.214140,72.97
74.532162,73.98
75.015742,74.99
75.173582,73.98
75.336307,72.97
75.493750,72.97
76.293948,73.98
76.610344,74.99
76.775115,73.98
77.413695,74.99
78.372427,73.98
78.851864,74.99
79.012301,76.01
79.973221,77.02
80.134167,78.03
80.771350,78.98
81.091506,78.03
81.252695,77.02
81.412837,78.03
82.381932,78.98
82.534567,78.03
82.693957,77.02
83.176697,76.01
83.334420,77.02
83.974870,78.03
84.133003,77.02
84.291290,78.03
84.611780,78.98
85.411875,78.98
85.572772,78.98
85.732140,79.99
86.056673,78.98
86.213777,79.99
86.851212,81.00
87.017290,79.99
87.976841,81.00
89.255372,82.01
89.413932,81.00
90.214643,82.01
90.372709,81.00
90.852801,83.03
91.015585,82.01
91.332881,81.00
91.815331,82.01
91.972449,83.03
92.291947,82.01
92.456867,83.97
92.614929,83.03
93.252736,83.97
93.416206,84.98
93.737158,86.00
93.894021,84.98
94.058461,83.03
94.214877,82.01
94.535514,83.03
94.694729,82.01
95.011325,83.03
95.175202,83.97
95.332609,83.03
95.490904,83.03
95.654560,83.97
95.973171,84.98
96.294094,86.00
96.456200,84.98
96.616876,86.00
96.776709,87.01
97.093110,86.00
97.250564,83.97
97.570991,84.98
97.892510,86.00
98.049785,87.01
98.210146,88.02
98.372849,89.03
98.532019,88.02
99.334043,87.01
99.494673,88.02
99.653712,89.98
99.813995,89.03
100.134411,89.98
100.613216,89.03
100.774222,88.02
100.931233,89.98
101.253861,89.03
101.897769,88.02
102.214656,89.03
102.369963,89.98
102.529697,90.99
103.015431,92.00
104.452105,90.99
105.096142,92.00
105.573828,92.00
105.742360,92.00
107.335642,93.02
107.492564,92.00
108.132850,90.99
108.454562,92.00
108.931924,93.02
110.055763,94.03
110.214899,93.02
110.695428,94.03
111.174061,93.02
111.816903,94.03
113.096913,94.97
113.413298,95.99
113.570240,97.00
114.216780,95.99
115.175973,94.97
115.334364,95.99
115.652755,95.99
115.815641,94.97
116.452991,95.99
117.253675,97.00
117.894617,98.01
118.211753,97.00
118.855512,95.99
119.173712,97.00
121.095414,98.01
121.255415,97.00
121.733841,98.01
122.052931,99.02
122.695899,99.97
123.169654,99.02
123.815165,99.97
124.293482,100.98
124.454826,99.97
124.613618,100.98
124.773010,99.97
125.735273,99.97
125.897420,99.02
126.211307,98.01
126.375187,99.02
126.695697,99.97
126.852875,100.98
127.173182,99.97
127.655707,99.02
128.290971,99.97
