time,I
1.126082,0.00
1.285848,0.00
3.367262,1.01
3.525214,2.03
3.690814,1.01
3.847490,2.97
4.008792,2.03
4.165984,3.98
4.645450,5.00
4.814874,7.02
4.963848,8.03
5.124027,9.99
5.287734,13.03
5.444928,14.99
5.607385,18.02
5.768842,19.98
5.928995,23.02
6.086389,24.98
6.245561,25.99
6.726458,27.00
6.887771,28.01
7.044929,29.03
7.205941,28.01
7.365563,25.99
7.531410,24.03
7.849421,24.98
8.164918,25.99
8.327865,27.00
8.648204,25.99
9.447411,27.00
9.927252,28.01
10.243143,29.03
10.405885,29.97
10.726882,32.00
10.885557,33.01
11.206261,29.97
11.368275,30.98
11.527352,35.03
11.686955,38.00
11.846813,35.03
12.167585,30.98
12.328860,28.01
12.807906,29.03
12.965650,29.97
13.124881,34.02
13.288294,39.02
13.447458,36.99
13.608451,34.02
13.768188,33.01
14.085421,32.00
14.248980,29.03
14.405923,28.01
14.566419,29.97
14.728016,30.98
14.890356,28.01
15.046910,25.99
15.207495,24.03
15.372671,19.98
15.523749,20.99
16.169309,19.98
16.328343,18.97
16.486964,18.02
16.645735,17.01
16.808073,16.00
17.124872,14.99
17.927655,13.97
18.569667,13.03
19.525300,13.97
20.166936,14.99
20.327397,16.00
20.806094,17.01
21.286672,17.01
21.448737,17.01
21.769329,18.02
22.248204,18.97
23.046299,18.02
23.368828,17.01
23.845845,16.00
24.164657,14.99
24.327518,13.97
24.491072,13.03
24.808092,12.02
25.129177,11.00
25.290110,9.99
25.608120,8.98
25.923698,8.03
26.568440,7.02
26.886762,6.01
27.688361,5.00
28.646976,6.01
28.808596,5.00
29.446851,3.98
29.609022,6.01
29.766080,11.00
30.408241,12.02
30.567289,13.97
31.045350,13.03
31.364715,13.03
31.528682,13.03
32.486605,13.97
33.449099,14.99
36.487331,13.97
40.326379,13.03
41.445019,12.02
41.606289,13.03
41.767549,12.02
41.924637,13.03
42.567510,12.02
44.486413,11.00
44.645593,12.02
44.809179,11.00
46.245585,9.99
46.565295,11.00
48.486206,9.99
49.286584,11.00
49.446721,9.99
50.088956,11.00
50.246898,9.99
51.528382,9.99
51.684519,9.99
53.445290,8.98
54.569057,9.99
56.486603,8.98
59.847940,8.03
60.165466,8.98
61.606237,8.98
61.766453,8.98
65.127059,8.03
65.608321,8.98
65.926822,8.03
66.245279,8.98
66.730057,8.03
70.569220,7.02
71.207467,8.03
71.687119,8.03
71.847731,8.03
72.329898,7.02
76.644357,7.02
79.212252,6.01
80.648156,7.02
80.808927,6.01
81.768360,6.01
81.930048,6.01
83.687509,7.02
83.848399,6.01
85.128477,5.00
85.287796,6.01
86.408560,5.00
86.887917,6.01
87.688557,5.00
87.846058,6.01
88.008023,5.00
88.647749,6.01
88.805805,5.00
89.127989,6.01
89.288302,5.00
91.047994,6.01
91.529398,5.00
91.846996,6.01
