time,I
1.181473,1.01
1.341113,3.98
1.499686,17.01
1.661672,24.03
1.821341,25.99
1.982639,33.01
2.140602,29.97
2.300920,28.01
2.460211,20.99
2.621055,18.97
2.940822,14.99
3.100622,11.00
3.260610,9.99
3.580936,30.98
3.740244,40.03
3.902332,41.99
4.065645,24.98
4.221277,12.02
4.382636,7.02
4.541901,8.03
4.700238,7.02
4.864909,8.03
5.023330,9.99
5.182385,16.00
5.340864,19.98
5.822545,23.02
6.141710,20.99
6.460629,19.98
7.263010,20.99
7.430547,19.98
7.580682,18.97
7.741930,17.01
7.902404,16.00
8.061457,14.99
8.223787,13.03
8.380822,12.02
8.703672,11.00
8.860884,9.99
9.341732,13.03
9.499666,12.02
9.664015,13.97
9.820874,14.99
10.142741,17.01
10.303960,18.97
10.462689,19.98
10.782538,20.99
10.942631,22.01
11.267523,23.02
11.582837,24.03
11.902088,24.98
12.064481,25.99
12.223738,27.00
12.383224,29.03
12.542192,28.01
12.861715,29.97
13.024740,30.98
13.342876,32.00
13.661689,33.01
14.304836,34.02
14.462262,33.01
14.622257,32.00
14.942227,30.98
15.261272,32.00
15.745288,33.01
16.062110,34.02
16.382284,35.03
16.704228,35.98
17.183596,36.99
17.501118,38.00
17.662820,36.99
17.825901,38.00
18.303822,39.02
18.782110,40.03
20.388011,40.97
20.543571,40.03
20.701485,40.97
21.022356,41.99
21.823246,43.00
22.465564,44.01
22.623151,45.02
23.101170,44.01
23.428734,45.02
24.541155,45.97
24.699880,45.02
25.020549,45.97
25.503615,46.98
25.660383,45.97
26.142858,46.98
26.304776,47.99
26.619797,46.98
27.423297,45.97
27.583650,46.98
28.062094,45.97
28.384039,46.98
28.862618,47.99
29.026359,46.98
29.181492,47.99
29.983378,49.01
31.262490,50.02
31.425521,49.01
31.582458,50.02
31.741666,51.03
32.060931,50.02
32.226676,51.03
32.544126,51.03
32.700307,51.98
34.146894,51.03
34.302704,51.98
35.425065,52.99
36.224995,51.98
36.700526,52.99
37.020958,54.00
37.503362,55.01
39.424431,56.03
40.062499,56.97
40.382082,56.03
41.371588,56.97
41.502405,56.03
41.821861,56.97
42.143493,57.98
42.628245,57.98
42.780790,56.97
43.748606,57.98
44.382494,56.97
44.701742,57.98
45.503296,59.00
45.665075,57.98
45.821960,59.00
46.462633,60.01
47.103049,59.00
47.427012,60.01
47.902466,59.00
48.385785,60.01
49.180828,61.02
50.142349,60.01
50.945579,61.02
52.701707,61.02
52.859563,61.02
54.621545,62.03
56.707593,62.98
57.505483,62.03
57.820681,61.02
57.986963,62.03
58.140544,62.98
58.462660,63.99
58.620649,62.98
58.940507,62.03
59.104877,61.02
59.263092,62.03
59.743977,62.98
61.021171,63.99
61.181643,62.98
62.785043,63.99
62.939127,63.99
63.264477,65.00
63.584250,63.99
63.904992,62.98
64.865288,62.03
65.503549,61.02
65.668321,62.03
65.982166,62.98
66.941753,62.03
67.583341,62.98
68.067478,65.00
68.383491,63.99
69.664749,62.98
69.823052,63.99
70.140698,65.00
70.303995,63.99
70.464007,65.00
70.622020,63.99
71.104408,65.00
71.585065,63.99
71.905525,62.98
72.222679,63.99
72.384787,65.00
72.864489,66.01
73.020517,66.01
73.503943,65.00
74.624010,66.01
74.783612,65.00
75.102681,66.01
76.385189,67.03
76.702098,66.01
77.504452,65.00
77.665292,66.01
78.140662,65.00
78.464498,66.01
79.582574,67.03
79.744434,66.01
81.343311,67.03
82.943745,67.03
83.099812,67.03
83.424331,66.01
83.583449,67.03
83.742810,66.01
84.221646,65.00
84.545359,66.01
86.304343,65.00
86.465336,63.99
88.063991,65.00
88.703072,63.99
89.183370,65.00
89.342802,66.01
89.824245,67.03
90.141479,65.00
90.306014,63.99
90.462132,62.98
90.782453,62.03
91.108825,62.98
91.425093,62.03
92.059925,62.98
92.383430,62.03
92.863354,62.98
93.024296,62.98
93.181082,62.98
93.983547,62.03
95.902211,61.02
96.381789,62.03
97.339668,62.98
97.663868,63.99
97.824699,62.98
98.784094,62.03
99.424764,61.02
101.982832,60.01
103.104437,60.01
103.259659,60.01
106.462571,59.00
106.627670,60.01
107.741656,59.00
109.022709,60.01
109.183302,59.00
109.341741,60.01
109.500433,59.00
109.984210,60.01
110.460318,59.00
112.061377,57.98
113.183041,57.98
113.342116,56.97
113.823803,56.03
114.462892,55.01
114.943842,52.99
115.262500,51.98
116.383819,51.03
118.139896,50.02
120.389002,49.01
121.341599,47.99
122.469283,49.01
123.259868,49.01
123.424275,47.99
124.224370,49.01
124.383601,47.99
124.701102,46.98
125.026146,47.99
125.984957,49.01
126.625058,47.99
127.422151,46.98
127.582676,47.99
128.380955,49.01
128.703311,47.99
129.181350,49.01
130.143519,47.99
130.943979,46.98
131.102604,47.99
133.024034,46.98
133.189539,47.99
133.342350,47.99
133.502044,47.99
133.983903,46.98
136.064076,47.99
136.541550,49.01
137.025413,47.99
137.664831,49.01
138.144854,47.99
138.304202,46.98
138.779893,45.97
139.102613,46.98
141.340828,45.97
141.503236,46.98
141.982668,45.97
142.302824,46.98
143.422118,46.98
143.580908,46.98
146.304548,47.99
146.783747,46.98
146.944266,47.99
149.343634,49.01
150.302610,47.99
150.463812,49.01
150.782234,47.99
151.105110,49.01
151.745303,47.99
152.543524,49.01
153.022248,47.99
153.503509,47.99
153.663977,47.99
153.822232,49.01
155.265106,47.99
156.545294,49.01
157.505517,47.99
159.106902,49.01
159.739551,50.02
160.062748,49.01
161.984009,50.02
162.465340,49.01
163.266210,50.02
163.590796,50.02
163.744741,50.02
166.621332,49.01
167.424135,50.02
167.905388,51.03
168.222450,50.02
168.382566,49.01
168.704894,50.02
169.344618,51.03
169.504735,50.02
170.143300,49.01
170.460523,50.02
171.426151,49.01
171.581366,50.02
171.900445,49.01
173.185310,50.02
173.343412,49.01
173.660458,49.01
173.822450,49.01
173.983081,50.02
174.146130,49.01
176.864378,50.02
177.663811,49.01
179.263990,50.02
179.583130,49.01
180.379427,50.02
181.826808,51.03
182.303301,50.02
182.465224,51.03
183.103507,50.02
183.743526,50.02
183.903444,49.01
184.703956,50.02
186.141984,49.01
186.462727,50.02
187.902219,51.03
188.222928,50.02
189.021099,51.03
189.664359,50.02
193.664142,51.03
193.822420,51.03
193.983878,51.03
194.945071,50.02
195.422835,51.03
196.223875,50.02
196.383952,51.03
197.184567,50.02
199.905331,51.03
200.539988,51.98
201.340686,51.03
203.263676,50.02
203.745364,51.03
203.903253,51.98
204.063950,51.98
205.023383,51.03
207.744321,51.98
209.663934,51.03
209.823641,51.98
209.985452,51.03
212.221484,51.98
213.982427,51.98
214.142790,51.98
214.941493,51.03
219.262210,51.03
220.063429,51.98
220.383288,51.03
221.025022,51.98
221.340400,51.03
222.626471,51.98
222.781864,51.03
223.582216,50.02
223.747699,51.03
224.069132,51.03
224.222988,51.03
224.380097,50.02
225.347490,51.03
225.984281,50.02
228.063213,51.03
228.382986,50.02
229.986503,49.01
230.942384,50.02
231.103243,49.01
232.063256,50.02
232.704673,49.01
234.141754,49.01
234.303817,49.01
235.103456,50.02
237.023855,49.01
238.145346,50.02
238.783018,49.01
240.543492,50.02
240.862679,49.01
244.224023,49.01
244.382121,49.01
245.022079,50.02
245.504010,49.01
246.145032,47.99
247.102318,49.01
248.227418,47.99
248.704854,49.01
253.021007,49.01
254.304358,49.01
254.464001,49.01
254.622497,47.99
254.781674,49.01
255.746318,50.02
256.704666,51.03
257.344911,50.02
258.786882,49.01
259.101650,50.02
263.419607,50.02
263.906518,51.03
