time,I
0.668874,2.03
0.830307,9.99
0.989726,44.01
1.154018,78.98
1.316964,94.97
1.470728,101.99
1.637914,94.03
1.790360,89.03
1.955921,89.98
2.114709,93.02
2.274259,95.99
2.432543,94.03
2.591549,82.01
2.750593,79.99
2.909981,83.03
3.076557,92.00
3.235902,77.02
3.388762,32.00
3.554224,12.02
3.873944,13.97
4.031282,12.02
4.190368,13.03
4.352217,14.99
4.511021,17.01
4.670756,18.97
4.831612,19.98
5.310998,20.99
5.473693,23.02
5.629953,24.98
5.789738,27.00
5.952208,29.03
6.110020,29.97
6.274388,30.98
6.430913,33.01
6.593047,35.98
6.748959,38.00
6.910440,40.97
7.718292,41.99
8.031519,43.00
8.195610,45.02
8.674994,44.01
9.313484,45.02
9.471714,43.00
9.635550,41.99
9.951198,43.00
10.432223,41.99
10.753609,43.00
11.073554,44.01
11.391801,43.00
11.713431,41.99
12.032629,43.00
12.194205,44.01
12.836964,45.97
12.993016,45.02
13.151265,45.97
13.311781,45.02
13.631401,45.97
13.950717,45.02
14.269820,45.97
14.434826,46.98
14.591317,45.97
14.751869,45.02
15.392392,44.01
15.553151,43.00
15.873691,41.99
16.034512,40.03
16.190739,38.00
16.353250,36.99
16.511001,35.03
16.674177,33.01
16.830530,30.98
16.989963,29.97
17.151714,28.01
17.312328,25.99
17.472251,24.98
17.790842,25.99
18.909580,24.98
19.394018,24.03
19.553251,23.02
19.710279,22.01
20.029529,20.99
20.350890,19.98
20.831043,18.02
21.153668,17.01
21.312035,16.00
21.470420,14.99
22.114595,13.03
22.271135,9.99
22.432590,8.03
22.591783,6.01
22.753190,3.98
23.070331,5.00
23.234765,8.03
23.551946,9.99
23.713932,11.00
23.868281,13.03
24.031285,13.97
24.189146,16.00
24.352507,18.02
24.514043,20.99
24.673131,24.98
24.832164,27.00
24.990306,29.03
25.152024,32.00
25.311105,33.01
25.470941,35.98
25.631287,38.00
25.791982,39.02
25.952515,40.03
26.110032,40.97
26.270837,41.99
26.431402,41.99
26.593992,43.00
26.753554,44.01
27.072904,45.02
27.392453,45.97
27.711665,46.98
28.029877,47.99
28.194150,49.01
28.512105,50.02
28.831647,51.03
30.752192,50.02
31.872049,49.01
32.190979,50.02
32.353806,49.01
33.151045,50.02
33.957382,51.03
34.271852,50.02
35.235475,51.03
35.715702,51.98
36.355465,51.98
36.508869,51.98
36.835971,51.03
37.480210,51.98
37.792146,52.99
39.555104,54.00
39.709543,52.99
40.992490,54.00
41.633743,55.01
42.430703,56.03
42.911994,55.01
43.230360,54.00
44.830371,55.01
44.989125,54.00
45.313582,52.99
45.952376,54.00
46.433724,54.00
46.592606,52.99
47.239535,54.00
47.394450,55.01
48.992285,56.03
50.109468,56.97
50.590918,56.03
52.190538,55.01
52.511325,56.03
52.830624,56.97
53.632667,57.98
53.951692,56.97
54.272884,56.03
54.592631,56.97
56.514571,56.97
56.672843,56.97
58.753187,56.03
59.070872,56.97
59.235428,57.98
59.873247,56.97
60.673967,57.98
62.438291,59.00
62.912735,57.98
63.074744,59.00
64.193870,57.98
64.994773,56.97
65.150805,57.98
66.594311,57.98
66.749737,57.98
67.718356,56.97
68.036198,57.98
68.191086,59.00
68.350169,57.98
69.950971,56.97
70.593558,57.98
72.034438,56.97
72.352412,57.98
72.510009,59.00
73.471594,57.98
73.633879,59.00
73.790648,57.98
74.274629,56.97
74.911494,57.98
75.389761,59.00
76.673979,59.00
76.831607,59.00
78.273060,57.98
78.915239,59.00
79.231869,57.98
79.871522,59.00
80.197150,60.01
80.672739,59.00
81.152710,60.01
81.309834,59.00
82.113815,57.98
83.071091,59.00
83.389264,60.01
83.711698,59.00
84.832444,60.01
84.993111,61.02
85.312328,60.01
