time,I
0.090758,1.01
0.410986,2.03
1.372520,2.97
1.532321,0.00
1.690790,1.01
1.850133,3.98
2.009683,7.02
2.174526,9.99
2.330158,11.00
2.810007,13.97
2.974631,11.00
3.131173,7.02
3.292710,2.97
3.615555,5.00
3.777006,7.02
3.931475,8.03
4.252515,7.02
4.412602,8.03
4.731897,12.02
4.894891,13.97
5.054902,11.00
5.214498,8.03
5.373281,6.01
5.694635,5.00
6.014086,7.02
6.494351,6.01
6.653965,5.00
6.815953,3.98
6.971958,6.01
7.131698,2.97
7.617744,3.98
8.415968,5.00
9.212606,5.00
9.375121,5.00
9.854835,7.02
10.011385,6.01
10.172777,7.02
10.497218,8.03
10.654150,8.98
10.812991,9.99
10.971639,11.00
11.457446,9.99
11.616538,12.02
11.930327,13.03
12.096489,12.02
12.409827,13.03
12.576697,12.02
12.734603,13.03
13.051955,12.02
13.214932,13.03
13.534567,13.97
13.693893,12.02
13.854521,13.03
14.174308,13.97
14.655447,14.99
15.133279,16.00
15.297123,17.01
15.774964,18.02
16.253159,18.97
16.894761,19.98
17.214384,18.97
17.373148,19.98
18.492608,20.99
18.970077,19.98
19.292514,20.99
19.454951,20.99
19.775177,22.01
19.936719,20.99
20.092321,22.01
20.735823,20.99
20.895137,22.01
21.054031,23.02
21.212249,22.01
21.536005,23.02
21.692479,22.01
21.854602,23.02
22.010016,24.03
22.171525,23.02
22.494983,24.03
22.655860,23.02
22.810847,24.98
22.974371,24.03
23.134605,23.02
23.297205,22.01
23.454541,24.03
23.775675,24.98
24.093617,24.03
24.576569,24.98
24.732759,24.03
24.896301,24.98
26.016855,25.99
26.176036,24.98
26.333724,25.99
26.496728,27.00
26.653092,25.99
26.973696,27.00
27.135565,25.99
27.452813,27.00
27.622234,25.99
27.771850,27.00
28.252779,28.01
28.577520,27.00
28.734119,28.01
28.896605,27.00
29.054585,29.03
29.373427,28.01
29.533831,28.01
29.692920,29.03
30.015726,28.01
30.176079,29.03
30.338570,28.01
30.495299,29.03
30.652590,29.97
30.817661,29.03
30.972163,30.98
31.291287,29.97
31.455873,30.98
31.615250,29.97
32.091377,30.98
32.253879,32.00
32.413874,30.98
33.536338,32.00
33.692591,33.01
33.857899,32.00
34.015118,30.98
34.174075,33.01
34.333588,32.00
34.491816,33.01
34.655701,34.02
34.825879,32.00
34.974788,29.97
35.131835,33.01
35.451840,32.00
35.614267,33.01
36.098270,34.02
36.256239,35.03
36.412223,34.02
36.575173,33.01
36.731631,35.03
36.894779,34.02
37.053589,33.01
37.212908,35.03
37.372931,34.02
37.697249,35.98
37.854502,35.03
38.016198,34.02
38.330891,35.03
38.656333,33.01
38.814810,34.02
38.973579,35.03
39.131678,35.98
39.292215,35.03
39.453223,34.02
39.614291,34.02
39.773801,33.01
39.933410,34.02
40.094906,35.03
40.253290,34.02
40.413130,35.03
40.574811,34.02
40.734017,35.03
41.053612,35.98
41.210079,35.03
41.374823,34.02
41.534979,35.03
42.174132,35.98
42.334597,35.03
42.493131,35.98
43.134761,35.03
43.452296,35.98
43.609912,36.99
43.771249,35.98
44.091639,36.99
44.414182,35.98
44.573925,36.99
45.056059,35.98
45.210404,36.99
45.375602,38.00
45.531529,35.98
45.694437,38.00
46.015090,36.99
46.176160,35.98
46.333264,38.00
46.651628,36.99
46.815133,38.00
46.976395,36.99
47.294101,35.98
47.453340,36.99
47.613895,38.00
48.096322,39.02
48.412739,38.00
48.572083,39.02
48.895223,38.00
49.216112,39.02
49.532269,38.00
49.698002,39.02
49.852876,38.00
50.015045,39.02
50.171385,36.99
50.332872,38.00
50.975187,39.02
51.135573,36.99
51.290098,38.00
51.451729,39.02
51.616891,38.00
51.935471,39.02
52.255409,38.00
52.416497,39.02
52.733694,38.00
52.892691,39.02
53.212037,38.00
53.371458,39.02
53.852312,40.03
54.494361,39.02
54.976264,40.03
55.134280,38.00
55.291094,39.02
55.454178,40.03
55.935634,40.97
56.094135,40.03
56.254975,40.97
56.412261,40.03
56.732883,40.97
56.892861,40.03
57.054287,40.97
57.213158,40.03
58.812906,40.97
58.972438,40.03
59.132842,40.97
59.454593,40.03
59.612736,40.97
59.774559,40.97
59.932094,41.99
60.093861,40.97
60.255633,41.99
60.412110,40.97
60.896313,41.99
61.371745,43.00
61.695009,41.99
62.174412,43.00
62.333701,41.99
62.493127,43.00
62.651673,41.99
63.294629,40.97
63.453114,43.00
63.615289,41.99
63.773331,43.00
63.935651,44.01
64.094285,43.00
64.573506,44.01
64.733233,41.99
64.895722,43.00
65.215915,44.01
65.376012,43.00
65.693118,44.01
65.855349,43.00
66.014635,44.01
66.496391,43.00
66.655454,44.01
67.295007,45.02
67.455474,45.97
67.616416,44.01
67.781612,45.02
68.254418,45.97
68.575251,45.02
68.732862,44.01
69.054852,43.00
69.214950,45.02
69.693539,45.02
69.854413,45.02
70.012447,44.01
70.333591,45.02
70.653438,43.00
70.813388,44.01
71.135297,45.02
71.774386,44.01
72.094695,45.02
72.415498,44.01
72.576647,45.02
72.733354,44.01
73.053506,45.02
73.214612,44.01
74.174865,45.02
74.335198,44.01
74.650403,43.00
74.815666,44.01
75.459549,45.02
76.734901,45.97
77.055125,45.02
77.214340,45.97
77.530479,46.98
77.695403,45.97
78.012785,46.98
78.332850,45.97
78.653194,46.98
78.815388,45.97
79.134093,46.98
79.455678,45.97
79.616733,46.98
79.772313,46.98
79.933031,47.99
81.372762,46.98
81.854183,45.97
82.016860,46.98
82.653337,47.99
82.816794,49.01
82.971626,47.99
83.135903,49.01
83.773360,47.99
84.092644,49.01
84.736791,50.02
84.891830,49.01
85.050095,50.02
85.215504,51.03
85.373084,50.02
85.694711,49.01
86.015238,47.99
86.495637,49.01
87.294070,50.02
87.456670,47.99
87.612124,49.01
87.772904,50.02
89.056549,49.01
89.374053,50.02
89.695471,51.03
89.856483,50.02
90.013817,50.02
90.172605,51.03
90.332418,50.02
90.651142,51.03
90.813408,50.02
91.301616,49.01
91.453816,50.02
91.612710,49.01
91.772732,50.02
92.098665,51.03
92.253523,50.02
92.574959,51.03
92.893889,51.98
93.053751,51.03
93.374639,50.02
93.692555,51.03
93.855288,50.02
94.015288,51.03
94.172942,50.02
94.660833,51.03
94.813745,51.98
94.974248,51.03
95.291491,50.02
95.614906,49.01
95.933632,50.02
96.415025,51.03
97.374024,50.02
97.693709,49.01
97.857233,50.02
98.013225,51.03
99.456821,47.99
99.614370,49.01
99.934661,50.02
100.091670,50.02
100.893143,51.03
101.854246,50.02
102.174367,49.01
102.493151,51.03
102.653364,51.98
102.974615,51.03
103.454578,51.98
103.613776,51.03
104.415543,51.98
104.896407,52.99
105.376928,54.00
105.533535,52.99
106.013945,54.00
106.655358,55.01
106.814274,54.00
107.295585,55.01
107.454661,54.00
107.775361,55.01
108.093014,56.03
109.374800,55.01
109.533023,54.00
109.851223,55.01
110.013543,55.01
110.172228,55.01
110.972093,54.00
111.133373,55.01
111.775713,56.03
113.376487,55.01
113.696481,54.00
114.012774,55.01
114.173192,56.03
114.653147,55.01
114.814951,56.03
114.974724,55.01
115.135937,56.03
115.455905,55.01
115.615095,56.03
115.935641,56.97
116.091272,56.03
116.415416,55.01
116.574054,56.03
116.731340,56.97
117.694017,56.03
117.853859,56.97
119.773793,56.03
120.092022,56.03
120.253618,56.03
120.414589,56.97
120.572353,56.03
120.895672,55.01
121.056666,56.03
121.692783,56.97
121.855372,56.03
122.013180,56.97
122.973236,57.98
123.130256,56.97
123.292847,56.03
123.785542,56.97
124.256254,57.98
125.376044,59.00
125.695220,57.98
126.012431,59.00
126.495517,56.97
126.650725,57.98
127.293923,59.00
127.456349,57.98
127.775285,59.00
128.091719,57.98
129.050563,56.97
129.221020,57.98
129.695737,56.97
130.174422,56.97
130.336433,56.97
130.653916,56.03
130.812215,56.97
131.770988,57.98
132.733593,59.00
133.214274,57.98
134.652635,56.97
135.613258,57.98
135.774787,56.97
136.094072,57.98
136.251676,59.00
136.412750,57.98
136.571221,59.00
136.891110,60.01
137.533376,61.02
138.334494,60.01
138.814281,59.00
138.971736,60.01
139.132487,59.00
139.294213,60.01
139.614448,61.02
140.255537,61.02
140.412257,60.01
140.575643,61.02
141.694298,60.01
142.170655,61.02
146.495248,61.02
148.413691,60.01
149.214265,61.02
149.695553,60.01
149.852870,61.02
150.015826,60.01
150.172061,59.00
150.334131,57.98
150.492946,59.00
150.973889,57.98
151.136043,59.00
151.293262,60.01
151.452866,59.00
151.774848,60.01
151.938043,61.02
152.412674,62.03
152.732387,62.98
152.895292,62.03
153.054446,62.98
153.372237,65.00
154.974183,63.99
155.134664,65.00
155.774634,66.01
156.415667,65.00
156.575521,66.01
157.214697,65.00
157.854821,66.01
158.974295,67.03
159.932308,66.01
160.418140,67.03
160.574374,67.03
161.054612,67.97
161.215820,67.03
161.373186,67.97
161.538324,67.03
161.693564,67.97
162.174159,68.99
162.333594,67.97
162.654563,68.99
163.615003,70.00
164.576222,71.01
165.222424,72.02
165.857287,71.01
166.175040,72.02
166.335191,71.01
167.136455,72.02
167.616092,71.01
167.776984,72.02
168.734386,72.97
168.897425,72.02
169.055714,71.01
169.216532,72.02
169.375620,72.97
169.854223,73.98
170.015035,72.97
170.496565,72.97
170.655920,72.97
171.134247,72.02
171.292954,72.97
171.617769,72.02
171.936686,72.97
172.736455,73.98
173.213304,74.99
173.370760,73.98
176.733149,72.97
176.893548,73.98
177.051893,72.97
177.210019,73.98
177.532762,72.97
177.693392,74.99
178.176412,73.98
178.491259,74.99
178.813440,76.01
179.295505,74.99
179.611356,76.01
180.575034,76.01
180.732834,76.01
180.897763,77.02
181.374995,76.01
182.175251,77.02
182.653623,76.01
182.973223,74.99
183.143653,76.01
183.770618,77.02
184.263175,76.01
184.570786,74.99
184.736973,76.01
185.374721,77.02
185.692623,78.03
186.015045,77.02
186.495368,78.03
188.256885,77.02
188.580668,76.01
188.890321,74.99
189.056427,76.01
189.212265,77.02
189.373893,78.03
189.535254,77.02
189.854763,76.01
190.173744,74.99
190.334326,76.01
190.495001,74.99
190.651093,74.99
190.811206,74.99
190.976518,76.01
191.134625,77.02
191.294325,78.03
191.776315,78.98
192.255248,78.03
192.575130,77.02
192.733517,76.01
192.893587,74.99
193.695537,76.01
194.170764,77.02
194.335182,78.03
194.495049,78.98
194.650630,78.03
195.775910,78.98
196.093060,78.03
197.055837,78.98
197.853779,78.03
198.175323,77.02
198.340247,78.03
198.494398,78.98
198.811610,79.99
199.775419,78.98
200.730265,78.98
200.893922,78.98
201.057012,79.99
201.372118,81.00
201.533964,79.99
202.816588,78.98
203.294273,79.99
203.775246,81.00
204.412340,79.99
204.571087,78.98
204.732562,78.03
206.336914,77.02
206.494797,78.03
206.656892,77.02
206.811483,78.03
207.933829,78.98
208.574752,78.03
210.178216,77.02
210.332016,78.03
210.814369,78.03
210.975032,78.03
211.622231,77.02
211.771610,78.03
211.933021,77.02
212.095347,78.03
213.056203,78.98
213.215366,78.03
213.696468,77.02
213.854203,78.03
215.775274,77.02
216.255497,78.03
216.414659,78.98
217.053068,79.99
217.215924,78.98
217.851737,78.03
218.656157,78.98
218.817788,78.03
219.133188,78.98
220.893507,78.98
221.054123,78.98
221.854476,78.03
222.812598,78.98
223.131557,78.03
223.453537,78.98
225.856286,78.03
226.014260,78.98
226.175226,78.03
226.494418,78.98
227.295811,79.99
227.453982,78.98
228.413184,78.03
228.734186,78.98
228.895080,78.03
229.375126,78.98
229.535008,79.99
230.972800,79.99
231.139262,78.98
231.615100,79.99
232.094004,81.00
233.216221,79.99
234.994458,78.98
236.092960,79.99
236.416312,78.98
236.735467,78.03
238.012433,78.98
238.173761,79.99
238.653973,78.98
238.812361,79.99
239.135928,78.98
239.614013,79.99
239.773071,81.00
239.933152,79.99
241.052662,79.99
241.214930,78.98
241.694654,78.03
242.176626,77.02
242.332865,78.03
