time,I
0.014453,3.98
0.176987,2.97
0.333657,3.98
0.495478,6.01
0.656056,5.00
1.295002,3.98
1.454160,5.00
1.614001,6.01
1.774864,3.98
1.935199,5.00
2.256055,6.01
2.416269,5.00
2.734131,8.03
2.896111,12.02
3.055980,13.03
3.214361,13.97
3.696361,14.99
3.857654,13.03
4.017603,12.02
4.498550,11.00
4.657484,9.99
5.139685,8.03
5.299639,7.02
5.779099,6.01
5.939003,5.00
6.096792,3.98
6.254299,2.97
6.739976,2.03
6.899823,3.98
7.057709,2.03
7.216386,2.97
7.699613,3.98
7.855878,3.98
8.016821,5.00
8.334280,6.01
8.494045,5.00
9.457184,6.01
10.097959,8.03
10.256614,8.98
10.419021,11.00
10.577082,12.02
10.740652,13.03
10.897039,13.97
11.054278,14.99
11.376228,17.01
11.539330,18.02
11.697928,18.97
12.176994,19.98
12.662772,20.99
13.136237,22.01
13.456983,23.02
13.615947,22.01
13.774240,23.02
14.094267,22.01
14.255101,23.02
14.575134,24.03
15.055632,24.98
16.177986,25.99
16.341573,24.98
16.495591,25.99
16.660019,27.00
16.815645,25.99
16.976382,27.00
17.298784,28.01
17.934803,28.01
18.097043,28.01
18.579572,29.03
18.893810,29.97
19.215024,30.98
19.535401,32.00
20.180399,30.98
20.338742,32.00
20.814711,33.01
20.979356,32.00
21.936036,33.01
22.100452,34.02
22.257689,33.01
22.578015,34.02
23.056201,33.01
23.375732,34.02
23.537623,33.01
23.697154,34.02
23.855255,33.01
24.014981,34.02
24.659112,35.03
25.142888,34.02
25.295928,35.03
25.777412,34.02
26.100999,35.03
26.258198,34.02
26.421537,35.03
26.575360,34.02
26.742209,35.03
27.859525,35.98
28.016815,35.98
28.175893,35.98
28.496550,36.99
28.815383,35.98
28.974739,36.99
29.134392,35.98
29.777116,36.99
29.939056,38.00
30.095345,35.98
30.415049,36.99
31.054967,38.00
31.379090,36.99
31.702855,38.00
32.014419,36.99
32.337429,38.00
32.979137,39.02
33.139345,38.00
33.457683,39.02
33.777526,38.00
33.934963,39.02
34.739004,40.03
35.057035,40.97
36.495708,41.99
37.621971,43.00
37.942605,44.01
38.094954,44.01
38.263074,45.02
38.422782,44.01
38.583125,45.02
39.060574,44.01
39.377006,45.02
39.856626,44.01
40.016600,45.02
40.174943,44.01
40.496017,45.02
40.815279,45.97
40.976271,45.02
41.133915,45.97
41.458649,45.02
41.619601,45.97
41.777378,45.02
42.096540,45.97
42.417550,46.98
42.582065,45.97
44.018970,46.98
44.336289,45.97
44.497769,46.98
44.814253,45.97
45.135752,47.99
