time,I
0.086191,1.01
0.284389,2.03
0.404750,0.00
0.563762,2.97
0.728115,1.01
0.885632,2.97
1.046525,2.03
1.372007,3.98
1.524349,2.03
2.008215,1.01
2.169536,2.03
2.485296,3.98
2.644559,5.00
2.805670,3.98
2.969408,18.02
3.125108,27.00
3.284586,30.98
3.447467,33.01
3.605392,29.03
3.767179,24.98
3.926768,29.03
4.086971,32.00
4.246502,38.00
4.566715,28.01
4.731069,14.99
4.885174,8.98
5.050145,8.03
5.376275,6.01
5.525530,5.00
5.690364,3.98
6.009864,2.97
6.167570,3.98
6.326652,2.03
6.484800,2.97
6.648838,2.03
6.805854,2.97
6.965790,2.03
7.289841,1.01
7.446218,3.98
7.605076,1.01
7.767035,2.97
7.925158,3.98
8.092026,2.03
8.245780,2.97
8.408427,3.98
8.568384,2.97
8.890231,3.98
9.525277,5.00
10.005412,3.98
10.326282,5.00
12.087992,6.01
12.886944,5.00
13.207849,6.01
13.525859,5.00
14.008020,6.01
14.645134,7.02
14.807193,7.02
16.248727,8.03
18.486653,7.02
18.967351,8.03
19.129580,8.98
19.287388,11.00
19.448021,18.02
19.605645,24.98
19.769178,34.02
19.923780,40.97
20.086012,46.98
20.246647,51.03
20.408460,56.03
20.571030,60.01
20.728934,61.02
20.888325,62.03
21.046716,63.99
21.204632,65.00
21.367607,63.99
21.691252,65.00
21.847130,63.99
22.007779,62.03
23.293111,62.98
24.086934,63.99
24.570125,65.00
24.725999,65.00
24.887412,65.00
25.531645,63.99
25.690959,65.00
26.169538,66.01
26.328753,65.00
26.967220,66.01
27.764238,67.03
28.086684,66.01
28.247356,67.03
30.327778,67.97
31.128199,68.99
31.289233,67.97
31.447455,68.99
31.609181,70.00
32.565462,71.01
33.044442,70.00
33.209983,71.01
33.846816,72.02
34.488324,72.97
34.809680,72.97
34.966022,72.97
36.406603,73.98
37.687114,74.99
38.164311,73.98
38.970209,74.99
39.285420,76.01
39.774786,77.02
41.528031,78.03
42.170881,78.98
42.647583,78.03
42.969253,78.98
43.767967,79.99
44.888917,79.99
45.047004,79.99
45.207967,81.00
47.767843,82.01
47.928263,81.00
48.729305,82.01
49.686480,81.00
50.487243,82.01
51.451506,83.03
51.926377,82.01
52.407492,83.03
53.205708,82.01
53.525272,83.03
53.684370,83.97
54.808093,84.98
54.967295,84.98
55.124973,84.98
56.249126,83.97
59.288167,84.98
61.848887,86.00
62.328594,84.98
