time,I
0.250205,2.97
0.409406,1.01
0.733948,0.00
1.052954,0.00
1.210184,1.01
1.372022,0.00
4.414408,3.98
4.575423,6.01
4.731476,11.00
4.894155,19.98
5.053502,28.01
5.213749,29.97
5.369134,23.02
5.530774,18.02
5.852207,18.97
6.013629,17.01
6.172264,14.99
6.333252,11.00
6.495217,8.03
6.654540,6.01
7.616373,5.00
7.935252,3.98
8.573181,2.03
8.734960,6.01
9.050938,3.98
9.214459,5.00
9.373617,2.97
9.534616,3.98
9.690961,5.00
9.853944,3.98
10.009530,6.01
10.173060,3.98
10.489246,5.00
11.135858,5.00
11.292145,5.00
14.176876,6.01
14.814753,7.02
15.452673,8.03
15.769403,8.98
15.931455,8.03
16.095024,8.98
16.251461,8.03
16.410699,8.98
16.572050,9.99
16.730851,8.98
16.892125,8.03
17.212207,8.98
17.533247,8.03
17.695288,8.98
17.852411,8.03
18.015891,8.98
18.494177,8.03
18.812492,8.98
19.615119,9.99
19.771798,8.98
19.935986,9.99
20.890887,11.00
21.212241,11.00
21.369765,11.00
21.693416,12.02
21.853821,13.03
22.010705,13.97
22.173182,16.00
22.332384,17.01
22.491195,18.97
22.651599,19.98
22.811389,23.02
22.970636,24.98
23.134705,25.99
23.290795,27.00
23.454506,28.01
23.612242,29.97
23.772229,32.00
24.572067,33.01
24.733620,34.02
24.891787,35.03
25.376352,35.98
25.692323,36.99
25.855238,35.98
26.014034,36.99
26.331340,38.00
26.812165,36.99
27.293834,38.00
27.614786,36.99
28.100753,38.00
28.255053,39.02
28.414001,38.00
28.572548,36.99
29.053707,38.00
29.213441,39.02
30.655256,38.00
30.971556,36.99
31.134582,38.00
31.290776,38.00
31.450435,38.00
31.614881,39.02
31.771074,38.00
31.933332,39.02
33.856678,38.00
34.333766,39.02
34.651901,38.00
35.294511,39.02
37.374474,38.00
37.532812,39.02
39.294409,40.03
40.573126,39.02
40.892773,40.03
41.374507,40.03
41.535140,40.03
43.291279,40.97
46.173981,41.99
46.973794,43.00
48.415303,41.99
48.574279,43.00
49.370623,41.99
50.171557,43.00
50.334211,41.99
50.493299,43.00
50.654264,41.99
51.452413,41.99
51.616870,41.99
53.056275,43.00
54.492639,44.01
54.658563,43.00
54.978832,44.01
55.135698,43.00
55.933636,44.01
56.412213,43.00
57.209955,44.01
57.374864,45.02
57.531158,44.01
58.332957,43.00
59.131614,44.01
59.618181,45.02
59.774246,44.01
60.413447,43.00
61.053106,44.01
61.532349,44.01
61.696528,45.02
62.816545,44.01
62.973467,45.02
63.934399,45.97
64.093637,45.02
65.213817,45.97
65.533433,45.02
65.693571,45.97
66.011877,45.02
66.813252,45.97
68.892248,46.98
70.335832,45.97
70.495282,46.98
70.655234,45.97
70.814880,46.98
71.453372,45.97
71.612411,45.97
71.771080,46.98
72.731822,47.99
72.890876,46.98
73.542471,47.99
73.695723,46.98
74.173532,45.97
74.333760,45.02
74.494552,45.97
75.293292,46.98
75.937111,45.97
76.254017,45.02
76.415423,45.97
76.570841,46.98
77.054960,47.99
78.333600,49.01
78.652836,47.99
79.773043,49.01
80.414449,47.99
80.575988,49.01
80.894079,47.99
81.534725,49.01
81.694824,49.01
81.855464,50.02
82.335414,49.01
83.131921,50.02
83.453934,49.01
84.094390,50.02
84.254197,49.01
84.413711,50.02
84.574935,49.01
85.854463,50.02
86.172491,49.01
86.811160,50.02
88.094463,51.03
88.253221,50.02
88.414149,51.03
88.569773,51.98
88.729986,51.03
88.890726,51.98
89.212292,51.03
89.373147,52.99
89.530866,51.98
89.852085,51.03
90.976861,51.98
91.770797,51.98
91.936822,51.98
93.053635,51.03
93.853405,51.98
94.494677,52.99
94.809643,51.98
94.973482,51.03
95.133357,51.98
96.093600,52.99
96.892414,54.00
97.213314,52.99
97.374194,54.00
99.453631,52.99
99.772986,51.03
99.937542,51.98
100.091247,52.99
100.253907,54.00
100.411538,52.99
100.574484,54.00
100.733095,52.99
101.857400,54.00
102.013750,54.00
102.172755,55.01
102.334889,54.00
102.492956,55.01
102.814425,54.00
102.975113,52.99
103.291382,54.00
103.455243,52.99
104.094308,54.00
104.253650,52.99
104.416301,54.00
105.212001,52.99
105.854105,54.00
106.014441,52.99
106.332615,54.00
106.651493,55.01
106.813356,54.00
106.973307,52.99
108.096582,54.00
108.254609,55.01
108.415199,56.03
108.891754,55.01
109.210535,56.03
109.532104,55.01
110.335535,56.03
111.936391,56.03
112.090356,56.03
112.735374,56.97
113.691504,56.03
114.330435,56.97
117.855421,57.98
118.012162,59.00
118.172002,57.98
120.252040,59.00
120.734072,57.98
121.051451,59.00
121.534682,57.98
121.855353,59.00
122.009790,60.01
122.170959,59.00
122.972492,57.98
123.136527,59.00
124.091421,60.01
124.412620,59.00
124.573674,60.01
125.053728,59.00
125.215076,60.01
126.335557,59.00
127.133942,60.01
127.613526,61.02
130.332462,62.03
130.655198,62.98
130.815702,62.03
131.130568,61.02
132.096339,62.03
132.254372,62.03
132.894101,61.02
133.214941,62.03
133.374471,61.02
134.971827,62.03
135.774953,61.02
140.095279,61.02
140.249823,60.01
140.421974,59.00
140.572329,60.01
140.732807,61.02
142.171193,61.02
142.335259,61.02
143.292482,62.03
143.453637,61.02
144.090600,62.03
145.211839,61.02
145.529878,62.03
146.173208,62.98
147.135317,63.99
147.293927,62.98
147.456175,63.99
147.616803,62.98
147.775632,63.99
147.931043,62.98
148.096516,62.03
148.250541,61.02
148.894302,60.01
149.213938,61.02
149.534204,62.03
149.696709,60.01
150.172635,61.02
150.972268,60.01
152.251951,61.02
152.411237,61.02
153.695712,62.03
154.171403,61.02
154.490926,62.03
154.971866,62.98
155.615803,62.03
156.735351,62.98
157.213914,63.99
158.490621,65.00
158.655643,63.99
158.811041,62.98
158.975709,62.03
159.291409,61.02
159.454390,62.03
159.934552,62.98
160.734757,63.99
161.049514,62.98
162.172806,63.99
162.331355,63.99
162.493575,63.99
162.653816,65.00
163.133235,63.99
164.416354,62.98
164.731785,62.03
164.895350,62.98
165.373613,63.99
165.533375,62.98
165.851362,62.03
166.170180,62.98
166.812566,63.99
168.573947,65.00
168.732247,63.99
168.893967,65.00
169.054952,63.99
169.213406,65.00
170.180672,63.99
170.334915,65.00
170.814941,66.01
172.412829,66.01
172.570196,66.01
173.055715,65.00
174.174335,66.01
174.333170,65.00
174.655347,63.99
175.134426,65.00
176.414141,66.01
176.735553,65.00
177.054565,66.01
177.373767,65.00
178.173795,63.99
178.333677,65.00
179.452127,66.01
180.254320,65.00
180.732599,63.99
181.212907,62.98
181.850047,63.99
182.170433,65.00
182.332817,63.99
182.494934,63.99
182.650244,63.99
182.814475,65.00
183.295711,63.99
184.094558,65.00
184.253775,63.99
184.569790,65.00
185.054207,66.01
185.216189,65.00
187.773307,66.01
188.254775,65.00
189.694050,66.01
190.492742,67.03
190.651455,66.01
190.811792,67.03
191.454341,67.97
191.932432,67.03
192.249476,66.01
192.576221,67.03
192.731586,67.03
193.852877,66.01
194.651147,67.03
194.816863,66.01
195.615836,67.03
195.772833,66.01
197.052663,67.03
197.371858,66.01
197.850399,67.03
198.493396,66.01
198.655397,67.03
199.136185,66.01
199.614930,67.03
200.094932,66.01
201.213783,67.03
202.490523,67.97
202.650172,67.97
202.810133,67.97
202.974692,67.03
