time,I
0.166545,1.01
0.487302,2.03
0.648030,2.97
0.810283,5.00
0.965527,3.98
1.125696,2.97
1.286704,2.03
1.768523,2.97
2.086397,0.00
2.246171,1.01
2.408878,2.97
2.730048,2.03
3.047181,3.98
3.207395,2.97
3.690443,3.98
3.849867,2.03
4.010830,2.97
4.168950,2.03
4.329379,2.97
4.488541,2.03
4.648713,2.97
4.808807,2.03
5.129178,2.97
5.291683,5.00
5.449828,2.97
5.615631,3.98
5.768448,5.00
6.249568,3.98
6.729692,5.00
7.209798,6.01
7.369325,7.02
7.689173,8.03
7.848910,8.98
8.008099,9.99
8.171802,11.00
8.331343,12.02
8.489708,13.97
8.970348,14.99
9.448153,13.97
9.609172,14.99
9.925859,16.00
10.245138,18.02
10.899357,18.97
11.530978,18.02
11.689509,19.98
11.851983,18.97
12.330464,19.98
13.450159,20.99
13.767217,22.01
14.089468,20.99
14.249621,22.01
15.211207,23.02
15.365029,23.02
15.529078,23.02
15.851621,22.01
16.330835,23.02
17.130729,24.03
18.248725,27.00
18.407965,22.01
18.726946,20.99
18.896462,22.01
19.848369,23.02
20.645807,24.03
20.808716,23.02
21.613872,24.03
22.414308,24.98
23.210706,24.03
24.011600,24.98
24.328827,25.99
24.811547,27.00
25.449658,27.00
25.609453,27.00
25.931705,28.01
26.409879,29.03
27.688057,29.97
28.489563,30.98
29.450848,32.00
29.769643,30.98
30.409001,32.00
31.691996,33.01
32.168282,32.00
32.329877,33.01
32.810945,34.02
34.408510,35.03
35.529173,35.03
35.687812,35.03
35.849551,34.02
36.007869,35.03
37.608383,35.98
38.086610,35.03
38.569374,35.98
39.048811,36.99
39.850220,35.98
40.173349,36.99
40.968509,35.98
41.931339,36.99
44.329580,35.98
45.611239,35.98
45.766766,35.98
45.930789,36.99
46.566273,38.00
47.210719,36.99
48.008995,38.00
48.488974,39.02
49.128105,38.00
51.369992,39.02
51.847462,38.00
52.167678,39.02
55.213675,40.03
55.529222,39.02
55.690859,39.02
55.848005,39.02
56.017176,40.03
56.329751,39.02
56.490723,40.03
57.611250,40.97
57.932781,40.03
60.971981,40.97
61.446501,41.99
61.611124,40.97
62.411248,41.99
62.728268,40.97
63.531645,41.99
65.290656,40.97
65.449878,41.99
65.767600,41.99
65.931200,43.00
67.852027,44.01
68.170285,43.00
68.650216,44.01
69.929298,45.02
70.250532,44.01
71.052340,45.02
73.447087,44.01
74.092357,45.02
74.565708,44.01
74.728582,45.02
75.048355,44.01
75.849524,45.02
76.011479,45.02
77.132210,45.97
77.449537,45.02
77.606819,45.97
77.931680,45.02
78.568312,45.97
79.853645,46.98
80.010199,45.97
82.250657,46.98
82.730476,45.97
84.008529,46.98
84.494953,45.97
84.808873,45.02
85.769119,45.97
85.927675,45.97
86.091042,45.97
87.049164,46.98
87.690019,47.99
88.171252,49.01
88.488248,47.99
88.971496,46.98
89.449559,47.99
89.767057,46.98
89.933812,47.99
91.210680,46.98
92.650739,47.99
92.968449,46.98
94.408644,47.99
95.049457,49.01
95.208237,47.99
96.009465,46.98
96.167801,46.98
97.930602,45.97
98.729212,46.98
100.170947,47.99
101.767263,49.01
102.410808,50.02
