time,I
0.250239,2.03
0.404072,3.98
0.566055,2.97
0.724740,2.03
0.884200,2.03
1.044173,3.98
1.366240,8.98
1.524341,18.97
1.687142,43.00
1.849010,55.01
2.007938,56.03
2.167847,65.00
2.327287,70.00
2.485271,62.98
2.803297,87.01
2.966958,84.98
3.124556,93.02
3.287928,94.03
3.448354,83.03
3.608269,67.03
3.764384,45.97
3.926599,29.97
4.088901,18.97
4.248920,13.97
4.406451,12.02
4.725076,14.99
4.891795,16.00
5.208941,14.99
5.367512,11.00
5.525975,9.99
6.007986,8.98
6.325137,11.00
6.651887,9.99
6.808941,11.00
6.965187,8.98
7.288034,8.03
7.611143,9.99
7.763876,11.00
7.926787,9.99
8.089124,11.00
8.407901,12.02
8.731526,13.03
9.208775,13.97
9.370346,14.99
9.528700,16.00
9.846907,17.01
10.009239,18.97
10.167017,19.98
10.324720,20.99
10.646881,22.01
10.807942,20.99
10.965145,20.99
11.126672,20.99
11.767237,22.01
12.566797,23.02
13.209278,24.03
13.528551,24.98
13.843604,24.03
14.168008,24.98
14.648044,27.00
15.449029,28.01
15.765317,27.00
16.575548,28.01
16.728973,29.03
16.883806,29.97
17.526115,30.98
17.688517,29.97
17.846143,29.03
18.487098,29.97
18.968586,30.98
19.287500,32.00
20.248254,33.01
20.409293,32.00
20.565901,33.01
20.724858,32.00
21.049780,33.01
21.205868,33.01
21.528541,32.00
21.687745,33.01
22.169076,34.02
22.966479,33.01
23.128077,34.02
23.768294,35.03
25.049132,35.98
25.371225,35.03
25.688503,35.98
26.166806,36.99
26.807288,35.98
27.447392,35.03
27.610070,35.98
28.084725,36.99
28.245578,35.98
28.406411,36.99
29.529019,38.00
30.165822,39.02
30.809016,40.03
31.127306,40.03
31.285283,40.03
31.448352,40.97
32.084543,41.99
33.365970,43.00
34.005281,44.01
34.807613,45.02
35.605974,45.97
35.931202,45.02
36.086017,45.97
36.407202,45.02
36.569928,45.97
36.727054,46.98
37.208461,45.97
37.526577,45.02
38.649823,45.97
38.964765,46.98
39.925735,47.99
40.247308,49.01
40.728049,47.99
41.206711,49.01
41.368081,49.01
41.526020,47.99
42.327331,49.01
42.645432,47.99
42.967432,49.01
43.291156,50.02
43.450270,49.01
43.929003,50.02
44.888354,51.03
45.689862,50.02
46.808061,51.03
47.128709,51.98
47.288523,51.03
47.609219,51.98
48.244461,52.99
48.568663,51.98
48.728930,52.99
48.887825,51.98
49.847560,52.99
50.167282,51.98
50.488284,51.03
50.649659,51.98
50.809799,52.99
51.284492,52.99
51.449017,52.99
51.768256,54.00
52.408276,52.99
52.568733,54.00
53.047911,52.99
53.208085,51.98
53.366718,52.99
53.528844,54.00
53.686412,55.01
53.847623,54.00
54.483963,55.01
55.463951,56.97
55.925964,56.03
56.247066,56.97
56.566976,56.03
56.726713,55.01
57.211879,56.03
57.369836,56.97
57.526488,56.03
58.325060,56.97
59.288200,57.98
59.445250,56.97
59.927904,57.98
61.365081,56.97
61.527608,56.97
61.686578,57.98
62.009205,56.97
62.648939,57.98
62.807408,56.97
62.968688,56.03
63.289013,56.97
64.085868,57.98
64.245111,59.00
64.573154,60.01
65.207975,61.02
65.364787,60.01
65.525821,61.02
67.607543,60.01
67.769657,61.02
69.688626,60.01
70.004723,61.02
71.446544,61.02
71.604828,62.03
73.366221,61.02
73.689329,62.03
74.333133,61.02
74.809335,62.03
75.444609,61.02
76.247022,62.03
76.409563,61.02
77.686384,62.03
77.848840,62.98
78.327384,63.99
78.488204,65.00
78.806912,63.99
78.964899,62.98
79.455315,63.99
80.405099,65.00
80.727953,63.99
81.049987,65.00
81.529489,65.00
81.685969,65.00
83.288939,63.99
84.891796,65.00
85.367509,63.99
85.524946,65.00
86.645662,66.01
87.286353,65.00
87.926951,66.01
88.245573,65.00
88.889481,66.01
89.527708,65.00
90.008946,66.01
90.167210,67.03
90.327754,66.01
90.804143,67.03
91.287552,66.01
91.449850,67.03
91.608641,66.01
91.764396,66.01
91.928687,67.03
93.367043,67.97
93.846146,68.99
94.327732,67.97
94.966308,68.99
95.129180,67.97
97.073779,67.03
97.208738,67.97
98.012072,68.99
99.930331,70.00
100.088840,71.01
100.246906,70.00
100.567781,68.99
101.529461,67.97
101.695103,68.99
101.845876,68.99
102.327975,70.00
104.405344,71.01
105.845904,70.00
106.008122,68.99
106.645760,70.00
107.128971,71.01
107.606660,72.02
108.248226,72.97
108.567151,73.98
108.886673,72.97
109.209823,72.02
109.368224,71.01
110.329997,72.02
111.604909,72.97
111.765148,72.97
111.924471,72.97
113.686057,73.98
114.329416,74.99
114.648737,76.01
114.966046,77.02
118.491006,76.01
118.646197,77.02
118.808470,76.01
119.126221,77.02
119.608396,76.01
119.768175,74.99
120.410713,76.01
121.369517,74.99
121.525950,76.01
121.687422,74.99
121.844873,74.99
122.003926,76.01
122.648249,74.99
123.289656,76.01
123.929033,77.02
124.089295,76.01
124.407475,77.02
124.727531,78.03
125.366078,78.98
125.527757,79.99
125.685618,78.98
126.489506,78.03
127.447200,78.98
128.410303,78.03
128.890637,78.98
130.006658,79.99
130.808537,81.00
131.927715,81.00
132.084994,81.00
135.612435,82.01
136.250214,83.03
136.408467,82.01
136.726315,83.03
136.888091,82.01
137.684545,83.03
138.645995,82.01
139.608234,83.03
140.409034,83.97
140.567948,83.03
140.727208,83.97
140.886415,83.03
141.850920,83.97
142.012207,84.98
142.166715,83.97
142.486590,83.03
143.287929,83.97
144.408616,83.03
144.885696,82.01
145.048559,83.03
145.373815,83.97
146.651476,83.03
147.287001,83.97
147.925342,84.98
148.570277,83.97
150.169708,84.98
150.808274,83.97
150.968009,84.98
152.088228,84.98
152.248292,84.98
153.369154,83.97
153.846148,84.98
154.009505,83.97
154.164508,84.98
154.327174,83.97
154.488183,84.98
155.132984,86.00
155.289729,84.98
155.606782,83.97
155.768711,83.03
156.086937,83.97
156.406884,86.00
156.729159,84.98
157.366367,86.00
157.688083,84.98
158.651085,86.00
159.127623,84.98
160.088214,86.00
161.046892,87.01
