time,I
1.490721,0.00
2.452963,8.03
2.611341,23.02
2.772333,44.01
2.930992,36.99
3.095926,28.01
3.254684,23.02
3.411900,12.02
3.574541,6.01
3.732202,2.03
3.892622,2.97
4.055496,1.01
4.534003,0.00
4.694708,1.01
5.015296,0.00
5.331870,1.01
5.496114,0.00
5.973521,1.01
6.132538,2.97
6.295760,2.03
6.453788,5.00
6.614031,3.98
6.773687,6.01
7.094881,6.01
7.252783,8.03
7.417206,8.98
7.736931,9.99
8.051237,8.98
8.217295,6.01
8.371680,5.00
8.691218,6.01
9.014055,7.02
9.173024,8.98
9.492400,8.03
9.653518,6.01
9.816341,7.02
10.135298,8.98
10.293420,9.99
10.456785,12.02
10.612661,13.97
10.777221,18.97
10.934539,19.98
11.091290,20.99
11.256178,22.01
11.409618,20.99
11.735514,23.02
11.891108,24.03
12.059816,23.02
12.214998,24.03
12.370834,23.02
12.534120,22.01
12.692098,20.99
13.012308,22.01
13.172793,23.02
13.495236,24.03
13.655741,23.02
13.972820,24.03
14.133213,24.98
14.776222,27.00
14.931741,28.01
15.093147,25.99
15.412994,24.98
16.054424,25.99
16.530220,27.00
16.692823,28.01
17.173493,28.01
17.334234,28.01
17.497291,29.03
18.774344,29.97
19.261693,30.98
19.582785,32.00
19.734658,33.01
19.893485,34.02
20.374770,35.03
20.695687,35.98
21.335154,36.99
21.651229,38.00
22.135725,39.02
22.773962,40.03
23.256963,39.02
23.734373,40.03
24.051889,40.97
24.214693,41.99
24.535532,43.00
24.852870,44.01
25.177855,45.02
25.333607,45.97
25.494475,46.98
25.814067,45.97
25.972800,45.02
26.293042,45.97
26.771415,46.98
27.093173,45.97
27.252740,45.97
27.411000,45.02
27.573097,44.01
27.733064,45.02
27.895784,46.98
28.053003,45.97
28.374305,47.99
28.534384,49.01
29.011706,47.99
29.172633,49.01
29.333949,50.02
29.654034,51.03
30.935374,51.98
31.735863,51.03
32.049920,51.98
32.372827,52.99
32.854624,54.00
33.334012,55.01
33.814893,54.00
33.973697,52.99
34.131674,54.00
34.613843,55.01
34.774630,56.03
35.094073,56.97
36.211465,57.98
36.531520,59.00
36.693872,60.01
37.330107,60.01
37.495562,61.02
38.613746,60.01
38.933926,61.02
39.415814,60.01
39.895861,61.02
40.053000,62.03
40.533722,62.98
41.335289,62.03
41.493314,62.98
41.814029,62.03
41.974732,62.98
42.131523,63.99
42.449467,65.00
42.938009,63.99
43.737173,65.00
44.372834,66.01
45.656931,65.00
45.812762,66.01
46.137147,67.03
46.454236,67.97
47.413862,68.99
47.573015,68.99
48.376810,70.00
48.851954,71.01
49.495218,72.02
49.811487,71.01
50.132689,72.02
50.451376,71.01
50.774578,72.02
51.093577,72.97
51.575628,72.02
51.732423,72.97
51.892996,72.02
52.695880,72.97
53.974085,72.02
54.135238,71.01
54.937338,72.02
55.413597,72.97
55.572219,72.02
55.733752,71.01
55.891763,70.00
56.054607,67.97
56.372093,67.03
56.693477,67.97
57.174674,67.03
57.491332,67.03
57.654362,67.03
57.813401,67.97
58.130445,67.03
58.290261,67.97
58.932846,68.99
59.093657,67.03
59.573750,68.99
59.735497,70.00
59.893207,71.01
60.054750,70.00
60.212545,71.01
60.373201,72.97
60.533105,74.99
60.852217,78.03
61.013973,77.02
61.653048,78.03
61.813861,77.02
62.291596,78.03
62.452811,77.02
62.613898,76.01
63.250968,74.99
63.411014,76.01
63.573112,77.02
63.731551,74.99
63.892522,72.97
64.054831,73.98
64.693064,74.99
64.853882,76.01
65.014733,77.02
65.495859,76.01
65.650989,77.02
65.815584,78.03
67.095738,78.98
67.572299,78.98
67.732673,78.03
68.214147,78.98
68.850833,78.03
69.010699,78.98
69.171521,79.99
69.330770,81.00
69.810067,82.01
70.131648,81.00
70.450717,82.01
70.930400,83.03
72.050323,83.97
72.369642,83.03
72.689762,82.01
72.852199,81.00
73.171480,79.99
73.649798,78.98
73.971403,79.99
74.611299,82.01
74.773266,83.03
75.092258,82.01
75.574205,81.00
76.051213,82.01
76.369765,83.97
76.530782,84.98
76.853198,83.97
77.174507,83.03
77.334659,81.00
77.654349,81.00
77.812717,81.00
78.133787,83.03
78.294895,82.01
78.931426,83.03
79.093128,83.97
80.054821,83.03
80.372724,82.01
80.530821,83.03
80.690390,82.01
81.011344,81.00
81.175656,82.01
81.651484,83.03
81.814504,82.01
82.294137,83.03
82.610493,82.01
82.773267,81.00
83.254458,82.01
83.570175,83.97
83.893925,83.03
84.050817,82.01
84.213102,81.00
84.371447,82.01
84.854588,83.03
85.014705,83.97
85.335931,84.98
85.654619,86.00
86.451937,87.01
86.609523,88.02
86.770837,87.01
87.254010,88.02
87.413642,89.98
87.738501,90.99
87.892546,90.99
88.214268,92.00
88.535219,90.99
89.011849,92.00
89.495521,90.99
89.658427,92.00
90.134266,93.02
90.612610,92.00
90.774739,90.99
90.931306,89.98
91.091591,90.99
91.574662,92.00
91.731687,93.02
92.532302,94.03
92.853428,94.97
93.175337,94.03
93.495617,94.97
93.652277,95.99
93.811227,97.00
95.094251,95.99
95.415537,94.97
95.573427,94.03
95.730716,94.97
96.054223,94.03
96.533315,94.97
97.815841,94.97
97.971078,94.97
98.452074,95.99
98.771243,97.00
98.936675,95.99
99.570890,94.97
100.693353,95.99
101.812779,97.00
101.972509,95.99
102.132775,97.00
102.291872,95.99
102.611601,97.00
103.095170,98.01
104.533676,97.00
104.697737,98.01
105.011249,97.00
105.332715,98.01
106.134830,97.00
106.455288,98.01
106.933344,99.02
107.254667,99.97
107.896942,99.97
108.053296,99.97
108.693489,100.98
108.853957,99.97
110.621830,99.02
110.772884,99.97
110.933426,99.02
111.093206,99.97
111.734567,99.02
111.895004,98.01
112.050708,99.02
112.214323,98.01
112.372242,97.00
112.853696,95.99
113.494292,94.97
113.972320,95.99
114.137301,97.00
114.290550,98.01
114.609787,99.02
114.932505,97.00
115.249992,99.02
115.414348,99.97
115.572888,100.98
115.734573,99.02
116.053320,98.01
116.372541,99.02
117.013590,99.97
117.333380,100.98
117.813193,99.97
117.975266,99.97
118.133083,100.98
118.451344,99.97
119.255752,99.02
119.412812,99.97
120.533235,100.98
121.494034,101.99
121.652999,103.01
122.294654,101.99
122.454045,100.98
123.737958,101.99
125.175381,100.98
125.811507,101.99
125.973154,100.98
127.900299,101.99
128.053528,101.99
128.213254,103.01
128.376494,101.99
129.015586,103.01
129.171962,101.99
129.335081,103.01
129.815236,104.02
129.971550,103.01
130.132842,104.02
130.293220,103.01
130.930169,101.99
132.214595,103.01
133.497916,105.03
134.133694,105.98
134.614870,106.99
135.095739,108.00
135.735195,106.99
136.371497,105.98
136.690084,105.03
137.171557,104.02
137.493094,105.03
137.656647,104.02
137.973826,105.03
138.132953,104.02
138.291978,105.03
139.894073,104.02
141.012313,103.01
141.498828,104.02
141.813065,105.03
142.452950,105.98
142.772799,106.99
142.935790,105.98
143.417799,105.03
144.058876,105.98
144.217092,106.99
144.375195,108.00
144.533358,109.01
145.014605,108.00
145.172647,109.01
145.337282,108.00
145.492815,105.98
145.656386,105.03
145.815199,104.02
146.610097,105.03
148.210833,105.03
148.374367,105.03
149.173139,105.98
150.776648,106.99
151.416122,105.98
151.733094,106.99
151.896709,105.98
152.212686,105.03
152.375944,105.98
152.531710,105.03
154.133147,105.98
154.617989,106.99
155.575677,105.98
155.894939,106.99
156.371725,105.98
157.014409,105.03
157.175436,105.98
157.657132,106.99
157.972741,105.98
158.292284,105.98
158.457701,105.98
158.774358,106.99
159.092266,105.98
159.252775,106.99
160.692972,108.00
162.612891,106.99
163.411261,108.00
163.732460,109.01
164.213521,108.00
164.532017,106.99
164.696711,108.00
164.852965,109.01
165.174183,110.03
165.331258,110.97
165.491834,110.03
166.132369,109.01
166.449854,108.00
166.772537,109.01
166.934734,108.00
167.251195,109.01
167.894376,108.00
168.214984,106.99
168.372546,106.99
168.532934,106.99
168.694001,108.00
168.853227,106.99
169.014462,108.00
169.171500,106.99
169.816559,105.98
170.294317,108.00
171.892387,106.99
172.212235,108.00
173.492475,106.99
173.978460,108.00
175.411741,109.01
176.055315,108.00
176.372193,106.99
176.693915,108.00
177.174659,106.99
178.132536,105.98
178.452613,105.98
178.613149,105.98
178.775481,106.99
179.095704,108.00
180.374219,106.99
180.852980,108.00
181.333222,109.01
181.812467,108.00
181.973366,109.01
182.295107,108.00
182.610674,109.01
182.930779,110.03
183.092091,109.01
183.409516,108.00
184.052150,109.01
184.694227,110.03
185.011925,109.01
185.653637,110.03
186.449798,110.97
186.931502,111.98
187.570767,110.97
187.891221,110.03
188.212753,109.01
188.533036,108.00
188.693653,108.00
189.653972,106.99
189.970912,108.00
190.774861,109.01
191.737147,110.03
192.531654,109.01
192.852135,108.00
193.010725,109.01
193.654201,108.00
193.818512,109.01
194.615660,110.03
194.775405,109.01
195.414226,110.03
196.372968,109.01
197.653471,108.00
198.129776,109.01
198.290756,108.00
198.611670,108.00
198.773529,108.00
198.934484,109.01
200.213019,108.00
202.140868,106.99
202.450931,108.00
202.611200,109.01
202.770667,110.03
203.089863,109.01
203.255601,110.03
204.693954,110.97
205.173326,111.98
205.652838,110.97
205.971786,110.03
206.932463,109.01
208.057692,110.03
208.213700,109.01
208.692864,109.01
208.853179,110.03
209.494337,110.97
210.295361,110.03
214.134395,109.01
215.576710,108.00
215.891332,109.01
218.773831,109.01
218.930695,109.01
219.256566,108.00
219.413651,109.01
219.732755,108.00
221.012873,106.99
221.974631,105.98
224.532711,106.99
225.978978,105.98
226.452482,105.03
228.851724,104.02
229.015777,105.03
229.330099,104.02
229.815588,103.01
230.933146,104.02
231.093756,103.01
231.733202,101.99
232.693366,100.98
234.292902,99.97
234.611972,100.98
235.413504,99.97
236.212381,99.02
236.534230,98.01
237.173082,97.00
238.930423,97.00
239.092978,97.00
239.415320,95.99
239.732009,97.00
240.694566,95.99
241.653870,94.97
242.622297,94.03
242.772867,94.97
242.931591,94.03
243.251345,93.02
244.534092,92.00
245.009528,90.99
245.332641,89.98
246.612962,89.03
247.256980,88.02
247.733695,87.01
249.011706,87.01
249.173883,87.01
249.333996,86.00
249.659545,87.01
250.289932,86.00
250.450388,84.98
250.935632,86.00
251.251487,84.98
251.413741,83.97
252.533392,83.03
253.653994,83.97
254.291531,83.03
254.617133,82.01
255.414572,81.00
257.176143,82.01
257.492703,81.00
259.092322,81.00
259.254831,81.00
259.735693,79.99
262.132962,81.00
266.454525,81.00
269.171473,81.00
269.332357,79.99
269.974048,81.00
271.255096,79.99
272.054306,81.00
273.011414,79.99
277.014366,81.00
277.653898,79.99
278.452440,81.00
278.615593,79.99
278.934727,81.00
279.253632,81.00
279.413926,79.99
280.053303,81.00
280.854407,79.99
282.773438,78.98
283.255415,79.99
283.413261,78.98
283.893878,79.99
286.616866,81.00
286.932089,82.01
