time,I
0.081350,1.01
0.243432,2.03
0.721950,9.99
0.885930,20.99
1.042710,30.98
1.201099,38.00
1.362656,30.98
1.521223,29.03
1.683221,41.99
1.843471,40.03
2.002987,38.00
2.165068,17.01
2.324861,13.03
2.482450,13.97
2.643523,11.00
2.802406,12.02
2.965292,13.03
3.445276,12.02
3.601277,13.03
3.764744,13.97
3.925487,11.00
4.085124,8.98
4.243020,8.03
4.401913,7.02
4.566533,8.03
4.723048,7.02
5.045218,8.03
5.205186,8.98
5.360426,7.02
5.522523,6.01
5.684706,5.00
5.844893,6.01
6.162050,7.02
6.645505,8.03
6.964737,9.99
7.124189,11.00
7.281896,12.02
7.442700,13.97
7.608858,14.99
7.764937,17.01
8.244784,18.02
8.723328,19.98
8.881016,18.97
9.043873,19.98
10.006199,20.99
10.325485,22.01
10.643891,23.02
11.129506,24.03
11.443926,24.98
11.604322,24.03
12.404627,24.98
12.883966,25.99
13.524548,27.00
13.683274,27.00
13.842435,27.00
14.001084,29.03
15.124925,29.97
15.286808,30.98
15.446803,32.00
15.600924,30.98
15.764226,32.00
16.085476,33.01
16.563926,34.02
17.045994,33.01
17.684211,32.00
17.846684,33.01
18.004841,34.02
18.806576,35.03
19.281662,34.02
19.766313,35.03
20.561270,35.98
21.685146,36.99
22.006087,35.98
22.164589,36.99
23.606907,38.00
23.765577,38.00
23.923359,36.99
24.081722,35.98
24.242429,36.99
24.723707,38.00
26.163180,39.02
26.804634,38.00
26.962611,39.02
27.763594,38.00
27.926564,39.02
28.561938,38.00
28.726643,39.02
29.207868,38.00
29.523909,39.02
30.007977,40.03
30.164292,39.02
30.327162,40.03
30.963649,39.02
31.127590,40.03
33.524216,40.97
33.683968,40.03
33.844357,40.03
34.002597,40.03
34.968530,40.97
35.926125,40.03
36.083342,40.97
36.244053,40.03
36.405670,40.97
37.686533,40.03
37.843528,40.97
38.005034,40.03
38.804517,40.97
39.122820,41.99
39.442091,43.00
39.613174,41.99
39.763522,43.00
40.243316,41.99
40.406143,43.00
40.564582,41.99
40.885614,44.01
41.204774,43.00
42.165417,41.99
42.330035,43.00
43.927118,43.00
44.084849,43.00
45.201155,44.01
45.527909,43.00
45.684295,44.01
45.844841,43.00
46.803535,44.01
46.966997,43.00
47.125767,44.01
47.926504,43.00
48.084486,41.99
48.245685,43.00
48.405919,41.99
48.566942,43.00
49.203749,41.99
49.369258,43.00
49.683387,44.01
50.004696,43.00
50.163902,44.01
52.087081,45.02
52.723810,45.97
52.883989,45.02
53.043264,45.97
54.003286,45.97
54.164055,45.97
55.445140,45.02
56.086047,44.01
56.565868,45.02
56.723958,44.01
56.881323,45.02
57.205199,45.97
57.524814,46.98
57.841922,47.99
58.004241,46.98
58.645124,47.99
59.607528,49.01
61.205762,47.99
61.523480,49.01
61.681616,47.99
61.844432,49.01
62.010786,47.99
62.327861,46.98
62.487192,47.99
62.804206,49.01
63.126785,50.02
63.604463,49.01
63.922539,50.02
64.083868,50.02
64.242973,51.03
65.203893,51.98
65.522309,51.03
66.000528,51.98
66.489941,51.03
66.805938,51.98
67.922518,51.03
68.567386,51.98
69.367409,51.03
70.167014,50.02
70.641966,49.01
70.961585,50.02
71.122424,51.03
71.924431,51.98
72.408428,52.99
72.724427,51.98
73.040678,52.99
73.843444,54.00
74.003290,52.99
74.164055,54.00
74.324051,52.99
74.807239,54.00
75.762493,55.01
75.926099,54.00
76.083272,52.99
76.400339,54.00
78.804455,55.01
78.965979,54.00
79.120249,55.01
79.604793,54.00
79.772244,55.01
80.405774,56.03
80.725433,55.01
81.521597,56.03
82.166488,56.97
82.964771,56.03
83.443727,56.97
84.245844,56.97
84.406366,56.97
85.046299,57.98
85.523112,56.97
86.965368,57.98
87.607279,56.97
88.084353,57.98
88.726837,59.00
89.047111,57.98
89.364452,59.00
92.085198,60.01
92.243623,61.02
92.725363,60.01
94.324083,60.01
94.482900,60.01
96.726703,61.02
99.764969,62.03
100.884571,61.02
101.845379,62.03
104.242945,61.02
104.404042,61.02
104.562755,61.02
104.725082,62.03
105.365886,62.98
105.843755,63.99
107.601445,65.00
108.084672,63.99
108.563596,65.00
108.727651,63.99
108.882187,65.00
110.654562,66.01
111.764292,65.00
112.245888,66.01
112.405487,65.00
112.564301,66.01
112.720536,65.00
113.362843,66.01
113.524746,65.00
114.003467,66.01
114.486067,66.01
114.645513,66.01
114.963244,67.03
115.125041,66.01
116.403324,67.03
119.604283,67.97
119.922817,68.99
121.364027,67.97
121.847335,68.99
122.645428,67.97
122.805279,68.99
122.964475,70.00
123.285842,68.99
123.440847,67.97
123.605576,68.99
123.764423,67.97
124.247619,68.99
124.567492,67.97
124.723334,67.97
125.049877,68.99
125.520775,70.00
126.324922,68.99
126.803634,70.00
126.963049,68.99
127.285214,70.00
127.925422,68.99
130.003765,70.00
130.325350,68.99
130.964779,70.00
131.606692,68.99
131.765495,70.00
133.684548,68.99
134.001931,70.00
134.643800,70.00
134.801466,70.00
135.763466,68.99
135.923228,70.00
136.242148,71.01
136.403714,70.00
136.562482,68.99
136.725829,70.00
136.884809,71.01
137.042132,70.00
137.362173,68.99
138.162923,70.00
138.332202,68.99
138.488174,70.00
139.285050,71.01
139.601364,70.00
139.925404,71.01
140.563157,72.02
140.727713,71.01
141.202564,70.00
141.683870,71.01
142.004140,72.02
142.164387,71.01
143.126714,70.00
143.282936,71.01
143.760592,70.00
143.926156,71.01
144.725394,71.01
144.882684,71.01
146.484480,72.02
146.648097,71.01
146.803925,72.02
147.285142,71.01
147.606571,70.00
147.925173,71.01
148.085262,72.02
148.245904,72.97
148.566358,72.02
148.722914,71.01
149.205023,72.02
150.008528,71.01
150.642132,70.00
150.963175,71.01
151.283558,72.02
151.765631,71.01
152.565003,72.02
152.881931,72.97
153.207388,72.02
154.804762,72.02
154.964103,72.02
155.123969,72.97
156.402300,73.98
156.883842,72.97
157.365244,73.98
158.002266,72.97
158.325548,72.02
158.803712,72.97
160.087093,72.02
161.045415,72.97
161.684477,73.98
162.002277,74.99
162.161857,73.98
164.720668,74.99
164.883174,74.99
165.044398,74.99
165.205409,73.98
165.684788,74.99
166.323455,73.98
166.484096,72.97
166.804833,73.98
167.284503,72.97
168.245199,73.98
168.564459,74.99
170.005008,76.01
170.643452,74.99
170.964917,73.98
171.922084,74.99
173.526789,73.98
174.963768,74.99
175.120707,74.99
175.604825,73.98
176.884066,74.99
